"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.level.level";"session.level.totalMaxPoints";"session.level.totalMinPoints";"session.level.totalPoints";"trial.id";"trial.index";"trial.name";"trial.demoTask.answer";"trial.demoTask.durationTime";"trial.demoTask.endTime";"trial.demoTask.maxPoints";"trial.demoTask.minPoints";"trial.demoTask.outcome";"trial.demoTask.points";"trial.demoTask.question";"trial.demoTask.response";"trial.demoTask.result";"trial.demoTask.startTime";"trial.level.levelChangeDelta";"trial.level.levelCounter";"trial.level.levelPerformance";"trial.level.maxPoints";"trial.level.minPoints";"trial.level.points"
"la";;;"Windows XP";"Demo Module";"1.0";"1";"1";"1";"1";"1";"1";"2013-03-28 14:19:39.203";"2013-03-28 14:20:00.796";"1";"6";"10";"0";"10";"1";"0";"module.main.exec.demoTask";"BLUE";"1848";"2013-03-28 14:19:43.421";"1";"0";"FINISHED";"1";"green";"BLUE";"success";"2013-03-28 14:19:41.578";;"3";;"1";"0";"1"
"la";;;"Windows XP";"Demo Module";"1.0";"1";"1";"1";"1";"1";"1";"2013-03-28 14:19:39.203";"2013-03-28 14:20:00.796";"1";"6";"10";"0";"10";"2";"1";"module.main.exec.demoTask";"BLUE";"391";"2013-03-28 14:19:44.359";"1";"0";"FINISHED";"1";"blue";"BLUE";"success";"2013-03-28 14:19:43.968";"1";"0";"100.0";"1";"0";"1"
"la";;;"Windows XP";"Demo Module";"1.0";"1";"1";"1";"1";"1";"1";"2013-03-28 14:19:39.203";"2013-03-28 14:20:00.796";"1";"6";"10";"0";"10";"3";"2";"module.main.exec.demoTask";"BLUE";"559";"2013-03-28 14:19:48.453";"1";"0";"FINISHED";"1";"green";"BLUE";"success";"2013-03-28 14:19:47.890";;"1";;"1";"0";"1"
"la";;;"Windows XP";"Demo Module";"1.0";"1";"1";"1";"1";"1";"1";"2013-03-28 14:19:39.203";"2013-03-28 14:20:00.796";"1";"6";"10";"0";"10";"4";"3";"module.main.exec.demoTask";"BLUE";"392";"2013-03-28 14:19:49.359";"1";"0";"FINISHED";"1";"blue";"BLUE";"success";"2013-03-28 14:19:48.968";;"2";;"1";"0";"1"
"la";;;"Windows XP";"Demo Module";"1.0";"1";"1";"1";"1";"1";"1";"2013-03-28 14:19:39.203";"2013-03-28 14:20:00.796";"1";"6";"10";"0";"10";"5";"4";"module.main.exec.demoTask";"BLUE";"431";"2013-03-28 14:19:50.312";"1";"0";"FINISHED";"1";"blue";"BLUE";"success";"2013-03-28 14:19:49.890";;"3";;"1";"0";"1"
"la";;;"Windows XP";"Demo Module";"1.0";"1";"1";"1";"1";"1";"1";"2013-03-28 14:19:39.203";"2013-03-28 14:20:00.796";"1";"6";"10";"0";"10";"6";"5";"module.main.exec.demoTask";"BLUE";"341";"2013-03-28 14:19:51.187";"1";"0";"FINISHED";"1";"green";"BLUE";"success";"2013-03-28 14:19:50.843";"1";"0";"100.0";"1";"0";"1"
"la";;;"Windows XP";"Demo Module";"1.0";"1";"1";"1";"1";"1";"1";"2013-03-28 14:19:39.203";"2013-03-28 14:20:00.796";"1";"6";"10";"0";"10";"7";"6";"module.main.exec.demoTask";"BLUE";"396";"2013-03-28 14:19:55.109";"1";"0";"FINISHED";"1";"green";"BLUE";"success";"2013-03-28 14:19:54.718";;"1";;"1";"0";"1"
"la";;;"Windows XP";"Demo Module";"1.0";"1";"1";"1";"1";"1";"1";"2013-03-28 14:19:39.203";"2013-03-28 14:20:00.796";"1";"6";"10";"0";"10";"8";"7";"module.main.exec.demoTask";"BLUE";"383";"2013-03-28 14:19:56.000";"1";"0";"FINISHED";"1";"blue";"BLUE";"success";"2013-03-28 14:19:55.625";;"2";;"1";"0";"1"
"la";;;"Windows XP";"Demo Module";"1.0";"1";"1";"1";"1";"1";"1";"2013-03-28 14:19:39.203";"2013-03-28 14:20:00.796";"1";"6";"10";"0";"10";"9";"8";"module.main.exec.demoTask";"GREEN";"414";"2013-03-28 14:19:56.937";"1";"0";"FINISHED";"1";"blue";"GREEN";"success";"2013-03-28 14:19:56.531";;"3";;"1";"0";"1"
"la";;;"Windows XP";"Demo Module";"1.0";"1";"1";"1";"1";"1";"1";"2013-03-28 14:19:39.203";"2013-03-28 14:20:00.796";"1";"6";"10";"0";"10";"10";"9";"module.main.exec.demoTask";"GREEN";"310";"2013-03-28 14:19:57.781";"1";"0";"FINISHED";"1";"blue";"GREEN";"success";"2013-03-28 14:19:57.468";"1";"0";"100.0";"1";"0";"1"
